Series_Title,Overview,Similarity_To_Preference
Laura,A police detective falls in love with the woman whose murder he is investigating.,0.0
Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",0.0
The Best Years of Our Lives,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,0.0
Arsenic and Old Lace,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,0.0
The Grapes of Wrath,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",0.0
Sweet Smell of Success,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,0.0
Les diaboliques,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,0.0
Stalag 17,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",0.0
The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",0.0
La Strada,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",0.0
Roman Holiday,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,0.0
A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,0.0
Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,0.0
Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.",0.0
Bronenosets Potemkin,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",0.0
La règle du jeu,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",0.0
The Wizard of Oz,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,0.0
Serbuan maut 2: Berandal,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",0.0
Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,0.0
The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",0.0
The Adventures of Robin Hood,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",0.0
King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,0.0
Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",0.0
A Night at the Opera,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,0.0
His Girl Friday,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,0.0
The Philadelphia Story,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",0.0
Nosferatu,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,0.0
Bir Zamanlar Anadolu'da,A group of men set out in search of a dead body in the Anatolian steppes.,0.0
Dil Bechara,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",0.0
Manbiki kazoku,A family of small-time crooks take in a child they find outside in the cold.,0.0
Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",0.0
The Fall,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",0.0
Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,0.0
Call Me by Your Name,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",0.0
"I, Daniel Blake","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",0.0
Isle of Dogs,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",0.0
Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,0.0
Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",0.0
Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,0.0
Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",0.0
Nightcrawler,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",0.0
Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,0.0
Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,0.0
Star Wars: Episode VII - The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",0.0
Before Midnight,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,0.0
X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,0.0
Nueve reinas,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",0.0
Children of Men,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",0.0
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",0.0
Amour,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",0.0
The Irishman,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",0.0
Un prophète,A young Arab man is sent to a French prison.,0.0
Moon,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",0.0
Låt den rätte komma in,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",0.0
District 9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,0.0
The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",0.0
Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,0.0
